Transcript ID	GO
Sobic.003G312000.2	-
Sobic.003G312100.2	GO:0015031
Sobic.003G312200.1	"GO:0006614,GO:0005525,GO:0048500,GO:0008312"
Sobic.003G312300.2	-
Sobic.003G312400.1	-
Sobic.003G312500.1	-
Sobic.003G312550.1	-
Sobic.003G312600.1	-
Sobic.003G312700.1	"GO:0016020,GO:0005509,GO:0004571"
Sobic.003G312800.1	-
Sobic.003G312900.1	-
Sobic.003G313000.1	"GO:0015979,GO:0009523,GO:0009507"
Sobic.003G313100.1	GO:0046983
Sobic.003G313200.1	"GO:0016301,GO:0005524"
Sobic.003G313300.1	GO:0003677
Sobic.003G313400.1	-
Sobic.003G313500.1	GO:0005515
Sobic.003G313600.1	-
Sobic.003G313700.1	GO:0043531
Sobic.003G313800.1	"GO:0055114,GO:0050660,GO:0016491,GO:0019139,GO:0009690"
Sobic.003G313900.1	"GO:0080028,GO:0019762"
Sobic.003G314000.2	-
Sobic.003G314100.1	-
Sobic.003G314200.2	"GO:0006468,GO:0004672"
Sobic.003G314300.2	GO:0005515
Sobic.003G314400.1	GO:0016787
Sobic.003G314500.1	-
Sobic.003G314533.1	-
Sobic.003G314566.1	-
Sobic.003G314600.1	-
Sobic.003G314700.1	-
Sobic.003G314800.1	"GO:0006508,GO:0004190"
Sobic.003G314900.1	"GO:0006281,GO:0004518"
Sobic.003G315000.3	-
Sobic.003G315166.1	GO:0003993
Sobic.003G315332.1	-
Sobic.003G315500.1	-
Sobic.003G315600.1	-
Sobic.003G315700.1	"GO:0003887,GO:0005524"
Sobic.003G315800.2	-
Sobic.003G315900.1	-
Sobic.003G316000.1	-
Sobic.003G316100.1	"GO:0006355,GO:0005634,GO:0003677"
Sobic.003G316200.1	-
Sobic.003G316300.1	-
Sobic.003G316350.1	-
Sobic.003G316400.1	"GO:0006468,GO:0005524,GO:0004672,GO:0030246"
Sobic.003G316500.1	"GO:0046872,GO:0005524"
Sobic.003G316601.1	-
Sobic.003G316700.1	GO:0005515
Sobic.003G316850.1	"GO:0016021,GO:0015031"
Sobic.003G317000.1	GO:0005515
Sobic.003G317100.1	-
Sobic.003G317200.1	-
Sobic.003G317300.2	GO:0043531
Sobic.003G317400.1	GO:0016301
Sobic.003G317500.1	"GO:0016746,GO:0008152"
Sobic.003G317600.1	"GO:0055114,GO:0016491"
Sobic.003G317700.1	"GO:0055085,GO:0016020,GO:0006811,GO:0005216"
Sobic.003G317800.1	-
Sobic.003G317900.1	-
Sobic.003G318001.1	-
Sobic.003G318100.2	-
Sobic.003G318200.2	-
Sobic.003G318300.3	-
Sobic.003G318350.1	-
Sobic.003G318400.1	-
Sobic.003G318500.1	-
Sobic.003G318600.1	-
Sobic.003G318650.1	-
Sobic.003G318700.1	"GO:0016301,GO:0007205,GO:0004143"
Sobic.003G318800.1	-
Sobic.003G318900.1	-
Sobic.003G319000.1	GO:0006950
Sobic.003G319050.1	-
Sobic.003G319100.1	"GO:0016226,GO:0008199"
Sobic.003G319200.1	-
Sobic.003G319300.1	"GO:0048544,GO:0006468,GO:0004672"
Sobic.003G319400.1	"GO:0048544,GO:0006468,GO:0004672"
Sobic.003G319500.1	"GO:0004672,GO:0006468,GO:0048544"
Sobic.003G319600.1	"GO:0004674,GO:0048544,GO:0006468,GO:0004672"
Sobic.003G319700.1	GO:0016491
Sobic.003G319800.1	-
Sobic.003G319850.1	-
Sobic.003G319900.1	-
Sobic.003G320000.1	"GO:0008168,GO:0008152"
Sobic.003G320100.1	-
Sobic.003G320200.1	-
Sobic.003G320300.1	-
Sobic.003G320400.1	-
Sobic.003G320500.1	GO:0009055
Sobic.003G320600.1	GO:0016021
Sobic.003G320700.1	-
Sobic.003G320800.1	"GO:0055114,GO:0020037,GO:0006979,GO:0004601"
Sobic.003G320900.2	-
Sobic.003G321000.1	-
Sobic.003G321101.1	"GO:0006810,GO:0005622"
Sobic.003G321200.1	"GO:0004857,GO:0042545,GO:0030599,GO:0005618"
Sobic.003G321300.1	"GO:0005515,GO:0043531"
Sobic.003G321400.1	GO:0009055
Sobic.003G321500.1	"GO:0003677,GO:0008289"
Sobic.003G321600.1	-
Sobic.003G321700.1	GO:0003723
Sobic.003G321800.1	-
Sobic.003G321900.2	"GO:0016780,GO:0016020,GO:0008654"
Sobic.003G322000.1	"GO:0006468,GO:0005524,GO:0004672"
Sobic.003G322100.1	"GO:0055114,GO:0004097,GO:0016491,GO:0008152"
Sobic.003G322200.1	-
Sobic.003G322300.1	-
Sobic.003G322400.1	-
Sobic.003G322466.1	-
Sobic.003G322532.1	-
Sobic.003G322600.1	-
Sobic.003G322700.1	-
Sobic.003G322800.1	-
Sobic.003G322900.1	-
Sobic.003G323000.1	-
Sobic.003G323100.1	-
Sobic.003G323201.1	-
Sobic.003G323300.1	-
