Transcript ID	GO
Sobic.003G241000.1	"GO:0006221,GO:0003883"
Sobic.003G241050.1	-
Sobic.003G241100.1	"GO:0006508,GO:0004222,GO:0016020"
Sobic.003G241200.1	-
Sobic.003G241300.1	"GO:0050662,GO:0003824"
Sobic.003G241400.1	-
Sobic.003G241500.3	"GO:0055114,GO:0016616,GO:0006102,GO:0004450"
Sobic.003G241600.1	-
Sobic.003G241700.2	GO:0005515
Sobic.003G241800.4	-
Sobic.003G241900.1	"GO:0006468,GO:0005524,GO:0004672"
Sobic.003G242000.1	"GO:0008152,GO:0003824"
Sobic.003G242200.1	"GO:0003824,GO:0006470,GO:0004722"
Sobic.003G242300.2	-
Sobic.003G242400.2	-
Sobic.003G242500.1	-
Sobic.003G242600.1	-
Sobic.003G242700.1	-
Sobic.003G242800.2	"GO:0043565,GO:0006355,GO:0003700"
Sobic.003G242900.1	-
Sobic.003G243000.3	-
Sobic.003G243100.1	-
Sobic.003G243200.2	GO:0008270
Sobic.003G243300.1	-
Sobic.003G243400.1	"GO:0055085,GO:0016021"
Sobic.003G243500.1	"GO:0006355,GO:0003700"
Sobic.003G243600.1	-
Sobic.003G243700.1	-
Sobic.003G243750.1	-
Sobic.003G243800.1	-
Sobic.003G243900.1	"GO:0055114,GO:0016491,GO:0006633,GO:0005506"
Sobic.003G244000.1	"GO:0016853,GO:0005975"
Sobic.003G244100.1	"GO:0003700,GO:0006355,GO:0043565"
Sobic.003G244200.1	"GO:0046961,GO:0033178,GO:0015991,GO:0016747"
Sobic.003G244250.1	-
Sobic.003G244300.1	-
Sobic.003G244400.1	GO:0005515
Sobic.003G244401.1	-
Sobic.003G244500.1	-
Sobic.003G244600.1	"GO:0005975,GO:0004553"
Sobic.003G244700.1	"GO:0030955,GO:0006096,GO:0004743,GO:0000287"
Sobic.003G244800.2	-
Sobic.003G244850.1	-
Sobic.003G244900.1	-
Sobic.003G245000.1	-
Sobic.003G245101.1	-
Sobic.003G245201.1	"GO:0055085,GO:0016021,GO:0016747"
Sobic.003G245300.2	"GO:0008408,GO:0006139,GO:0003676"
Sobic.003G245401.1	GO:0005515
Sobic.003G245500.2	GO:0005515
Sobic.003G245600.1	"GO:0008408,GO:0006139,GO:0003676"
Sobic.003G245700.1	"GO:0008408,GO:0006139,GO:0003676"
Sobic.003G245800.1	-
Sobic.003G245900.1	-
Sobic.003G246000.1	"GO:0003723,GO:0000178"
Sobic.003G246100.1	GO:0005515
Sobic.003G246200.1	-
Sobic.003G246300.1	-
Sobic.003G246400.1	"GO:0006412,GO:0003735"
Sobic.003G246500.1	"GO:0008408,GO:0006139,GO:0003676"
Sobic.003G246600.1	-
Sobic.003G246700.1	"GO:0051536,GO:0016226,GO:0005506"
Sobic.003G246800.1	"GO:0043565,GO:0008270,GO:0006355,GO:0003700"
Sobic.003G246900.1	-
Sobic.003G247000.1	"GO:0005975,GO:0004553"
Sobic.003G247100.1	"GO:0006629,GO:0006508,GO:0004190"
Sobic.003G247200.1	"GO:0008124,GO:0006729"
Sobic.003G247300.1	-
Sobic.003G247400.2	"GO:0008236,GO:0006508"
Sobic.003G247500.1	"GO:0055085,GO:0046873,GO:0030001,GO:0016020"
Sobic.003G247600.1	"GO:0006468,GO:0005524,GO:0004672"
Sobic.003G247700.1	-
Sobic.003G247800.2	-
Sobic.003G247900.1	"GO:0005852,GO:0005737,GO:0003743"
Sobic.003G248000.1	-
Sobic.003G248100.1	"GO:0016773,GO:0016020,GO:0005524"
Sobic.003G248200.1	-
Sobic.003G248300.1	-
Sobic.003G248400.1	"GO:0043565,GO:0006355,GO:0003700"
Sobic.003G248500.1	GO:0005515
Sobic.003G248600.1	GO:0005524
Sobic.003G248700.1	-
Sobic.003G248800.1	-
Sobic.003G248901.1	-
Sobic.003G249000.1	-
Sobic.003G249050.1	-
Sobic.003G249100.2	-
Sobic.003G249200.1	-
Sobic.003G249300.1	-
Sobic.003G249400.1	-
Sobic.003G249500.1	GO:0016021
Sobic.003G249600.1	"GO:0006886,GO:0005737,GO:0007033"
Sobic.003G249700.1	"GO:0006412,GO:0005840,GO:0003735"
Sobic.003G249800.1	-
Sobic.003G249900.1	-
Sobic.003G250000.1	"GO:0055114,GO:0020037,GO:0006979,GO:0004601"
Sobic.003G250100.2	GO:0003677
Sobic.003G250160.1	-
Sobic.003G250220.1	GO:0006355
Sobic.003G250280.1	"GO:0008234,GO:0006508"
Sobic.003G250340.1	GO:0005525
Sobic.003G250400.1	"GO:0005515,GO:0008270"
Sobic.003G250500.2	"GO:0046872,GO:0005634,GO:0003723"
Sobic.003G250600.1	"GO:0045454,GO:0015035,GO:0009055"
Sobic.003G250700.1	-
Sobic.003G250900.1	GO:0005524
Sobic.003G251000.1	"GO:0048544,GO:0006468,GO:0005524,GO:0004672"
Sobic.003G251050.1	-
Sobic.003G251100.1	-
Sobic.003G251200.1	"GO:0048544,GO:0006468,GO:0005524,GO:0004672"
Sobic.003G251301.1	-
Sobic.003G251400.1	"GO:0006468,GO:0005524,GO:0004672"
Sobic.003G251600.1	"GO:0048544,GO:0006468,GO:0005524,GO:0004672"
Sobic.003G251700.1	"GO:0003677,GO:0009725,GO:0006355,GO:0005634"
Sobic.003G251800.2	"GO:0006355,GO:0003677"
